,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness
0,0.04,5.0,140.0,0.2394850548421971,1.3458891055784648,0.02,0.2,8,0,0.1444603998259379,9.357770902619372,0.1,0.2,2,0,0.8,0.2,0.2,0.8,16.168900338304574,23.38542326579494,0.8,1.2,0,-80,5,5,60,59.99986681317218,62.0,-3.3335553113796954,59.99986681317218,62.0,-3.3335553113796954,optimized_frequencies,41,0.0
1,0.04,5.0,140.0,0.0235779896702711,4.637777942538728,0.02,0.2,8,0,0.0317176721850331,11.358075360688744,0.1,0.2,2,0,0.8,0.2,0.2,0.8,19.553636716591008,14.983385457421765,0.8,1.2,0,-80,5,5,60,59.99998534654683,67.0,-11.666691089088603,59.99998534654683,67.0,-11.666691089088603,optimized_frequencies,42,0.0
2,0.04,5.0,140.0,0.7039097033538618,5.6838356206280265,0.02,0.2,8,0,0.2748953084263155,3.251906669578453,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.322153415274143,18.011308839763174,0.8,1.2,0,-80,5,5,60,59.99969568635407,13.0,78.33282614392346,59.99969568635407,13.0,78.33282614392346,optimized_frequencies,43,0.0
3,0.04,5.0,140.0,0.7015697064440132,6.990812888647898,0.02,0.2,8,0,0.155590615185827,5.594267981178717,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.9034002531865664,22.18273942164642,0.8,1.2,0,-80,5,5,60,59.999737607416975,28.0,53.33289601236163,59.999737607416975,28.0,53.33289601236163,optimized_frequencies,44,0.0
4,0.04,5.0,140.0,0.037460848408207,2.3522184259972683,0.02,0.2,8,0,0.1850641200016296,7.937550949248063,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.536174593808537,8.078178179686025,0.8,1.2,0,-80,5,5,60,59.999853440842614,63.0,-5.00024426526231,59.999853440842614,63.0,-5.00024426526231,optimized_frequencies,45,0.0
5,0.04,5.0,140.0,0.1756558859628987,2.616222613981031,0.02,0.2,8,0,0.2386195269825549,5.4955701133547805,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.774493284882745,12.398799843486769,0.8,1.2,0,-80,5,5,60,59.99986337584622,51.0,14.99977229307703,59.99986337584622,51.0,14.99977229307703,optimized_frequencies,46,0.0
6,0.04,5.0,140.0,0.2595456670407825,3.5367603495771736,0.02,0.2,8,0,0.1437165620866966,12.099714683495506,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.778326766146577,28.459778434141093,0.8,1.2,0,-80,5,5,60,59.99978687581254,65.0,-8.333688540312435,59.99978687581254,65.0,-8.333688540312435,optimized_frequencies,47,0.0
7,0.04,5.0,140.0,0.1566252024793396,15.588134647919247,0.02,0.2,8,0,0.3754438648714396,7.892229664009967,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.2776161500984973,22.221199184793708,0.8,1.2,0,-80,5,5,60,58.99973895075903,46.0,21.666231584598385,58.99973895075903,46.0,21.666231584598385,optimized_frequencies,48,1.0
8,0.04,5.0,140.0,0.7116792224645813,13.666304611429547,0.02,0.2,8,0,0.1634269773280284,9.48391058116615,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.4693263611156766,24.55362116825481,0.8,1.2,0,-80,5,5,60,59.999755157005566,60.0,-0.0004080716573895,59.999755157005566,60.0,-0.0004080716573895,optimized_frequencies,49,0.0
9,0.04,5.0,140.0,0.5941948976970926,5.9821601139266125,0.02,0.2,8,0,0.1218569448356715,2.800125454528036,0.1,0.2,2,0,0.8,0.2,0.2,0.8,11.31969249654372,28.187600269024884,0.8,1.2,0,-80,5,5,60,59.999787279302275,11.0,81.66631213217046,59.999787279302275,11.0,81.66631213217046,optimized_frequencies,50,0.0
10,0.04,5.0,140.0,0.7557220178733871,4.182929992017515,0.02,0.2,8,0,0.1985042822222439,3.438867064309541,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.4898773749403738,23.131492860077312,0.8,1.2,0,-80,5,5,60,59.99974813937967,19.0,68.33291356563278,59.99974813937967,19.0,68.33291356563278,optimized_frequencies,51,0.0
11,0.04,5.0,140.0,0.6549529102539469,10.764571932637644,0.02,0.2,8,0,0.1140883139735893,9.31511188136934,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.223762167737783,28.39504100193671,0.8,1.2,0,-80,5,5,60,59.99978483055406,12.0,79.99964138425678,59.99978483055406,63.0,-5.000358615743228,optimized_frequencies,52,0.0
12,0.04,5.0,140.0,0.6216315380502633,7.37324844999805,0.02,0.2,8,0,0.1826597152114871,5.605016448914938,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.387521895698608,21.32011682739513,0.8,1.2,0,-80,5,5,60,59.99973140421874,12.0,79.99955234036456,59.99973140421874,47.0,21.66621900703124,optimized_frequencies,53,0.0
13,0.04,5.0,140.0,0.4586378152547846,3.968987405208063,0.02,0.2,8,0,0.1725688735787683,7.176985160489892,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.546073732195104,22.37070833944945,0.8,1.2,0,-80,5,5,60,59.99974094382798,56.0,6.666234906379967,59.99974094382798,111.0,-85.0004317602867,optimized_frequencies,54,0.0
14,0.04,5.0,140.0,0.7045494046738439,3.125068749159984,0.02,0.2,8,0,0.1472897195347477,2.84878175343966,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.141777264545013,19.465835776149696,0.8,1.2,0,-80,5,5,60,59.9997779299369,9.0,84.99962988322817,59.9997779299369,9.0,84.99962988322817,optimized_frequencies,55,0.0
15,0.04,5.0,140.0,0.091297264129744,7.256405460366857,0.02,0.2,8,0,0.0785153310286042,10.419386884946093,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.166962311613681,14.135742430871534,0.8,1.2,0,-80,5,5,60,59.99991872715894,69.0,-15.000135454735098,59.99991872715894,69.0,-15.000135454735098,optimized_frequencies,56,0.0
16,0.04,5.0,140.0,0.3776611916880079,13.929588245399074,0.02,0.2,8,0,0.3865459991707981,0.6780979890684904,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.017779912540008,23.99155038439805,0.8,1.2,0,-80,5,5,60,88.99963476990506,62.0,44.99939128317509,88.99963476990506,62.0,44.99939128317509,optimized_frequencies,57,1.0
17,0.04,5.0,140.0,0.2146058490774091,2.8260969215610947,0.02,0.2,8,0,0.1094714166500879,13.058277040303118,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.624633987862945,25.392556502757312,0.8,1.2,0,-80,5,5,60,59.99988411798334,69.0,-15.000193136694431,59.99988411798334,69.0,-15.000193136694431,optimized_frequencies,58,0.0
18,0.04,5.0,140.0,0.5044306592832237,4.124466900851663,0.02,0.2,8,0,0.0761233658385862,0.9619928302734592,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.931242142793964,19.92948328856423,0.8,1.2,0,-80,5,5,60,59.99986413074246,12.0,79.99977355123742,59.99986413074246,12.0,79.99977355123742,optimized_frequencies,59,0.0
19,0.04,5.0,140.0,0.2270430571992326,5.781257093574098,0.02,0.2,8,0,0.1920545703549974,8.520759456274206,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.208795962160618,23.39969921735492,0.8,1.2,0,-80,5,5,60,59.999751497229184,59.0,1.6662524953819733,59.999751497229184,59.0,1.6662524953819733,optimized_frequencies,60,0.0
20,0.04,5.0,140.0,0.7793467230762481,2.4660713973120068,0.02,0.2,8,0,0.2234627243504081,2.6525895688905834,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.442413389329523,25.634046040700493,0.8,1.2,0,-80,5,5,60,59.999770579058456,8.0,86.66628429843077,59.999770579058456,8.0,86.66628429843077,optimized_frequencies,129,0.0
21,0.04,5.0,140.0,0.4470792009114749,6.923350494788528,0.02,0.2,8,0,0.0743269746417083,9.92494903104172,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.8535664536713643,13.36758784440326,0.8,1.2,0,-80,5,5,60,59.99961584510875,68.0,-13.333973591485416,59.99961584510875,68.0,-13.333973591485416,optimized_frequencies,130,0.0
22,0.04,5.0,140.0,0.4648473977322149,6.505070415799105,0.02,0.2,8,0,0.0658292577603081,11.969805700949458,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.265766102149668,27.06110914055364,0.8,1.2,0,-80,5,5,60,59.999860176690056,68.0,-13.33356637218324,59.999860176690056,68.0,-13.33356637218324,optimized_frequencies,131,0.0
23,0.04,5.0,140.0,0.2950630019256329,1.3811426884940907,0.02,0.2,8,0,0.1657096804151929,8.605436667623671,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.866237584076483,13.345646459893434,0.8,1.2,0,-80,5,5,60,59.99962154183856,62.0,-3.3339640969357376,59.99962154183856,62.0,-3.3339640969357376,optimized_frequencies,132,0.0
24,0.04,5.0,140.0,0.3256646582347269,14.129503135100975,0.02,0.2,8,0,0.0740621228066585,11.684811838943643,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.620464741813213,26.124438363826595,0.8,1.2,0,-80,5,5,60,59.999768143719976,13.0,78.33294690619996,59.999768143719976,65.0,-8.333719760466707,optimized_frequencies,133,0.0
25,0.04,5.0,140.0,0.5972166705302964,0.9295839548963584,0.02,0.2,8,0,0.1348365177629832,10.497543741580714,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.89185473839873,21.69199294816673,0.8,1.2,0,-80,5,5,60,59.9997342663537,65.0,-8.333776222743836,59.9997342663537,65.0,-8.333776222743836,optimized_frequencies,134,0.0
26,0.04,5.0,140.0,0.9874540922097076,17.329953139238,0.02,0.2,8,0,0.2100792480528977,7.927591875115084,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.044135933892317,26.937831377170493,0.8,1.2,0,-80,5,5,60,59.999772795262025,54.0,9.999621325436708,59.999772795262025,54.0,9.999621325436708,optimized_frequencies,135,0.0
27,0.04,5.0,140.0,0.7029937580088326,8.862268199810229,0.02,0.2,8,0,0.0429394682370438,10.351266744706088,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.05720489888724,25.04021311467945,0.8,1.2,0,-80,5,5,60,59.99976135644994,67.0,-11.66706440591677,59.99976135644994,67.0,-11.66706440591677,optimized_frequencies,136,0.0
28,0.04,5.0,140.0,0.2997147432952726,5.835364107692,0.02,0.2,8,0,0.2010586058629824,7.384158072075273,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.012448356676604,15.570286838582966,0.8,1.2,0,-80,5,5,60,59.99966024915062,57.0,4.99943374858437,59.99966024915062,57.0,4.99943374858437,optimized_frequencies,137,0.0
29,0.04,5.0,140.0,0.2800467925167653,4.273975374470373,0.02,0.2,8,0,0.082801027180517,10.99194819126759,0.1,0.2,2,0,0.8,0.2,0.2,0.8,15.123913593451563,27.211597820802982,0.8,1.2,0,-80,5,5,60,59.999933083362514,65.0,-8.333444861062477,59.999933083362514,65.0,-8.333444861062477,optimized_frequencies,138,0.0
