,popsize,ep_eta,ip_eta,ep_delta,ip_delta,sp_ge,sp_gi,desired_frequency,fitness,iterations,execution_time,init_re,init_ve,init_ri,init_vi,strategy
63,10,5.4198921172332355,4.832716001426654,0.308233376097374,0.4748377446046674,14.8164554339926,14.251155261674828,6,0.25,15,137.01448225975037,18.925465,-69.28961,13.014997,-61.13086,best1bin
64,10,12.723346493654912,9.1996775831889,0.4457340883200509,0.6903164722037105,8.153353675872554,7.029728745947397,10,0.0,10,89.97359728813171,15.757172,-55.268833,5.167192,-64.66681,best1bin
65,10,17.495102410989514,1.642866903151358,0.4773472924164977,0.4410537443890221,3.672450076501531,2.4243711460226276,10,0.0,10,141.36491799354553,23.299967,-62.61951,14.329716,-66.28529,best1bin
66,10,14.813388503049143,11.669665065237751,0.5831667250335553,0.5553060631678739,9.466834445474374,8.234550225589834,10,0.25,10,84.66512107849121,18.638878,-59.49401,12.155505,-60.424232,best1bin
67,10,8.736615534696043,4.129815290004018,0.2030163802172587,0.6170703449000873,8.151809642099368,9.123863793560336,10,0.0,10,83.05163192749023,5.9802823,-55.002087,13.031213,-58.095295,best1bin
68,10,17.751111967753154,13.286989259088251,0.5258254222649803,0.8450372731806408,12.061267588280751,5.504301146315653,10,0.0,10,83.09130001068115,1.1621773,-69.59618,11.082385,-60.099003,best1bin
69,10,19.75130051176586,10.882858937150978,0.4659024973856602,0.7719832737038534,4.693437718373831,22.502981159170105,20,0.25,10,81.96007513999939,5.7223845,-56.242535,13.23124,-66.0819,best1bin
70,10,16.208068389314764,5.720742903010361,0.2332100551115075,0.862954720419981,3.554468629021076,9.04921863395669,20,0.0,10,82.5044538974762,10.413731,-70.133125,8.001842,-68.37873,best1bin
71,10,17.760329760307332,10.035535222974517,0.1197306473784922,0.7791432814407616,2.4623926591935668,13.807058664383906,20,0.0,10,110.44627594947816,17.961487,-62.341656,11.964533,-63.16367,best1bin
72,10,16.856240815025956,6.221170340783189,0.4267359838401688,0.1950549661352282,1.9680946478626655,27.00149491106849,60,0.0,10,82.37931418418884,24.425463,-70.33599,6.694993,-56.838577,best1bin
73,10,1.351357197089193,6.447367285362702,0.1043258926442088,0.1228268448521355,7.526723613157766,20.929365838165005,60,0.25,10,82.85373401641846,11.853343,-66.81951,5.3101974,-74.159065,best1bin
74,10,2.4620507532086746,3.32013114093688,0.3849876071926479,0.2162020516555076,8.573947918278101,26.744425824602,60,0.0,10,82.10745167732239,24.909084,-58.218174,1.705554,-61.451496,best1bin
75,10,2.77365935419943,7.1024593803585745,0.6650625861659389,0.1923936326178721,7.95584276114754,29.705006195091528,60,0.0,10,81.97660803794861,3.726892,-74.093506,12.062315,-74.882164,best1bin
76,10,15.501336388800723,20.00298670746308,0.2051139881832613,0.9488921552203656,3.539631872461835,3.776856298665029,6,0.0,15,124.25318884849548,1.6542393,-68.20284,9.232921,-72.18051,best1bin
77,10,10.840018087995592,22.75362324353193,0.5615171123954104,0.9634170577075364,7.268816387830368,2.6589792824657827,6,0.0,15,122.05804204940796,16.80941,-62.443485,17.059391,-65.601326,best1bin
78,10,14.187234580319076,31.2505305299445,0.5146262539539548,0.7752529722781135,1.7226188710161807,1.556122594768533,6,0.0,15,122.00816893577576,9.06616,-74.21283,5.090769,-55.79848,best1bin
79,10,3.725916022416439,13.302568214862228,0.6929774973499576,0.966421067354377,17.694587532684267,4.902112058007829,6,0.0,15,139.9983949661255,3.3086884,-67.276276,8.8249445,-64.11827,best1bin
80,10,4.583402075870497,1.1800236272823028,0.9414855475113756,0.7130331616384049,13.681449273383244,5.569633112490166,10,0.0,10,84.1153359413147,0.7319596,-55.78381,4.2699976,-57.351704,best1bin
81,10,6.720391939361148,2.3113020054556515,0.2759760268429323,0.5739148426326405,10.733481085811205,9.697753192752684,10,0.0,10,84.57530498504639,15.266779,-73.209274,18.08231,-59.655388,best1bin
82,10,6.962684228626337,4.621433781579391,0.8150703874822988,0.968381619775568,18.19544864533439,6.530150487909188,10,0.0,10,84.44668388366699,10.252703,-72.43811,21.899944,-64.60326,best1bin
83,10,16.376817437974697,13.670429908166495,0.8025917835913499,0.9363543113931968,5.994155322679536,3.729604826847974,10,0.0,10,85.72557377815247,1.8334779,-69.791435,14.944192,-58.704407,best1bin
84,10,10.075952879808856,6.958437138966858,0.5485812771936683,0.6553797600172235,19.282210577673354,16.2464891104685,10,0.0,10,85.12194991111755,7.074781,-59.353004,6.627209,-69.497055,best1bin
85,10,17.323487529028668,1.8838591643234253,0.4176168498624005,0.1716589579591272,4.438868738045588,8.320652198055875,20,0.0,10,101.52509117126463,13.328138,-61.101673,8.312302,-61.05901,best1bin
86,10,5.739039756635766,1.961377661541789,0.6795917977068526,0.9633885407716964,7.258968889543088,6.211969844473138,20,0.25,10,82.97118711471558,6.1674514,-67.8082,3.4977708,-74.130035,best1bin
87,10,19.45272713046415,3.2316834135297867,0.8779481712173525,0.9537726405220815,15.333132462681354,20.77800394196762,20,0.0,10,83.68278408050537,12.901921,-66.06682,21.48549,-71.77601,best1bin
88,10,15.83481373779961,6.241107239773299,0.4105695575575858,0.6979554060730169,1.2182406242423325,15.171871402355205,20,0.0,10,81.35091304779053,15.0224495,-63.066395,10.6072035,-70.70896,best1bin
89,10,12.49278028854692,4.355553734937814,0.595836367896998,0.9121195159093844,2.2333349226215,10.109531613291542,20,0.0,10,82.24363207817078,16.739983,-71.199615,6.414424,-57.57498,best1bin
90,10,3.614087651020115,8.366356975622274,0.9790463646644912,0.1465063412994307,2.172321731863132,24.510737520499788,60,0.0,10,85.36521005630493,15.429547,-65.565315,9.939559,-61.04033,best1bin
91,10,9.878909006002088,3.2259879787497,0.976159973672564,0.0600119249909171,4.688776251430725,20.51779208409523,60,0.0,10,82.32599186897278,11.799331,-60.702484,23.752419,-66.23368,best1bin
92,10,4.799310937524351,4.449689159544413,0.401867858295211,0.056542826370347,8.594286576731774,16.597391662077463,60,0.0,10,84.7426540851593,13.328448,-73.32411,16.576063,-73.08513,best1bin
93,10,7.28994809594866,8.913172122563573,0.5687479674223381,0.1766683233222155,5.4188162905045685,23.917832214956093,60,0.0,10,82.32783079147339,21.617294,-74.130974,8.233069,-66.795906,best1bin
