,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness
65,0.04,5.0,140.0,0.6722372373820177,15.64942802924309,0.02,0.2,8,0,0.6362637449615236,1.1392389161139178,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.090415995812005,24.39608756885387,0.8,1.2,0,-80,5,5,20,20.999915343403437,13.0,39.999576717017185,20.999915343403437,13.0,39.999576717017185,rand_init_optimization_results,49,0.0
66,0.04,5.0,140.0,0.2923025332882509,19.2698028724528,0.02,0.2,8,0,0.8116874870014018,3.479609396427556,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.775172572799828,16.684762938392673,0.8,1.2,0,-80,5,5,20,19.999890824330897,37.0,-85.00054587834553,19.999890824330897,19.0,4.99945412165447,rand_init_optimization_results,50,0.0
67,0.04,5.0,140.0,0.51686644710912,18.448447158890595,0.02,0.2,8,0,0.9397171083475856,7.655460298201547,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.117407431634044,15.944073951412545,0.8,1.2,0,-80,5,5,20,19.99988718284277,16.0,19.99943591421383,19.99988718284277,16.0,19.99943591421383,rand_init_optimization_results,51,0.0
68,0.04,5.0,140.0,0.3342274421362396,15.972182610479775,0.02,0.2,8,0,0.7079755970506467,6.848432822322053,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.663271142030779,10.35813329839568,0.8,1.2,0,-80,5,5,20,19.99984786825391,16.0,19.999239341269544,19.99984786825391,16.0,19.999239341269544,rand_init_optimization_results,52,0.0
69,0.04,5.0,140.0,0.805853883505541,16.95297837873795,0.02,0.2,8,0,0.910742090566098,3.325245582215046,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.626359258515668,17.51474408419474,0.8,1.2,0,-80,5,5,20,19.999896095799674,14.0,29.99948047899837,19.999896095799674,14.0,29.99948047899837,rand_init_optimization_results,53,0.0
70,0.04,5.0,140.0,0.4659024973856602,19.75130051176586,0.02,0.2,8,0,0.7719832737038534,10.882858937150978,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.693437718373831,22.502981159170105,0.8,1.2,0,-80,5,5,20,19.99991223412425,25.0,-25.00043882937876,19.99991223412425,25.0,-25.00043882937876,rand_init_optimization_results,69,0.25
71,0.04,5.0,140.0,0.2332100551115075,16.208068389314764,0.02,0.2,8,0,0.862954720419981,5.720742903010361,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.554468629021076,9.04921863395669,0.8,1.2,0,-80,5,5,20,19.9998342353692,17.0,14.999171176846,19.9998342353692,17.0,14.999171176846,rand_init_optimization_results,70,0.0
72,0.04,5.0,140.0,0.1197306473784922,17.760329760307332,0.02,0.2,8,0,0.7791432814407616,10.035535222974517,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.4623926591935668,13.807058664383906,0.8,1.2,0,-80,5,5,20,19.999872824504177,24.0,-20.000635877479116,19.999872824504177,24.0,-20.000635877479116,rand_init_optimization_results,71,0.0
73,0.04,5.0,140.0,0.4176168498624005,17.323487529028668,0.02,0.2,8,0,0.1716589579591272,1.8838591643234253,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.438868738045588,8.320652198055875,0.8,1.2,0,-80,5,5,20,17.999899830825395,22.0,-20.000500845873024,17.999899830825395,22.0,-20.000500845873024,rand_init_optimization_results,85,0.0
74,0.04,5.0,140.0,0.6795917977068526,5.739039756635766,0.02,0.2,8,0,0.9633885407716964,1.961377661541789,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.258968889543088,6.211969844473138,0.8,1.2,0,-80,5,5,20,9.99990262617214,21.0,-55.00048686913931,9.99990262617214,10.0,-0.0004868691393067,rand_init_optimization_results,86,0.25
