,strategy,popsize,ep_eta,ip_eta,ep_delta,ip_delta,sp_ge,sp_gi,desired_frequency,fitness,iterations,execution_time
45,best1bin,20,2.3522184259972683,7.937550949248063,0.037460848408207,0.1850641200016296,6.536174593808537,8.078178179686025,60,0.0,10,120.0115909576416
46,best1bin,20,2.616222613981031,5.4955701133547805,0.1756558859628987,0.2386195269825549,10.774493284882745,12.398799843486769,60,0.0,10,119.34012913703918
47,best1bin,20,3.5367603495771736,12.099714683495506,0.2595456670407825,0.1437165620866966,8.778326766146577,28.459778434141093,60,0.0,10,121.47201895713806
48,best1bin,20,15.588134647919247,7.892229664009967,0.1566252024793396,0.3754438648714396,1.2776161500984973,22.221199184793708,60,1.0,10,121.9885640144348
49,best1bin,20,13.666304611429547,9.48391058116615,0.7116792224645813,0.1634269773280284,1.4693263611156766,24.55362116825481,60,0.0,10,119.7785530090332
50,best1bin,20,5.9821601139266125,2.800125454528036,0.5941948976970926,0.1218569448356715,11.31969249654372,28.187600269024884,60,0.0,10,121.1528251171112
51,best1bin,20,4.182929992017515,3.438867064309541,0.7557220178733871,0.1985042822222439,3.4898773749403738,23.131492860077312,60,0.0,10,121.97513914108276
52,best1bin,20,10.764571932637644,9.31511188136934,0.6549529102539469,0.1140883139735893,6.223762167737783,28.39504100193671,60,0.0,10,122.1119258403778
53,best1bin,20,7.37324844999805,5.605016448914938,0.6216315380502633,0.1826597152114871,6.387521895698608,21.320116827395132,60,0.0,10,121.90984296798706
54,best1bin,20,3.968987405208063,7.176985160489892,0.4586378152547846,0.1725688735787683,4.546073732195104,22.37070833944945,60,0.0,10,123.9131977558136
55,best1bin,20,3.1250687491599836,2.84878175343966,0.7045494046738439,0.1472897195347477,8.141777264545013,19.465835776149696,60,0.0,10,122.55896306037904
56,best1bin,20,7.256405460366857,10.419386884946093,0.091297264129744,0.0785153310286042,7.166962311613681,14.135742430871534,60,0.0,10,122.0884130001068
57,best1bin,20,13.929588245399074,0.6780979890684904,0.3776611916880079,0.3865459991707981,4.017779912540008,23.99155038439805,60,1.0,10,121.19508600234984
58,best1bin,20,2.8260969215610947,13.058277040303118,0.2146058490774091,0.1094714166500879,10.624633987862945,25.392556502757312,60,0.0,10,120.71053314208984
59,best1bin,20,4.124466900851663,0.9619928302734592,0.5044306592832237,0.0761233658385862,9.931242142793964,19.92948328856423,60,0.0,10,120.72180914878844
60,best1bin,20,5.781257093574098,8.520759456274206,0.2270430571992326,0.1920545703549974,10.208795962160618,23.39969921735492,60,0.0,10,121.4618968963623
61,best1bin,20,10.59358825494602,8.082744898278072,0.0220726843298517,0.4329601473864312,5.342897430522498,10.489345823739727,10,0.0,15,25.37500810623169
62,best1bin,20,10.815369907370629,6.130523741165874,0.1725027276276826,0.8542807187667438,14.634836129790529,28.90567260994432,10,0.0,15,25.934448957443237
63,best1bin,20,4.97262346407368,1.5520968550691308,0.3781570385732399,0.979876074251373,6.09737094501694,9.359577874399818,10,0.0,15,26.01948118209839
64,best1bin,20,18.63821977611865,15.780023270984536,0.1419934298065019,0.4940367116045375,13.820904069649544,25.311095041542103,10,0.0,15,27.98561191558838
65,best1bin,20,9.233525182127837,1.7961092088529045,0.3056630127583217,0.6385072178104364,7.901642104757897,6.265837136359632,10,0.0,15,25.77145290374756
66,best1bin,20,5.098861531348186,1.1605462138371436,0.2999865531695212,0.6492331122331565,16.269752462863984,28.731880616835085,10,0.0,15,26.43069291114807
67,best1bin,20,9.357782182857672,2.1877429274931615,0.1181107412450059,0.8196185558661473,7.8139676330901775,9.300903849619916,10,0.0,15,25.958686113357544
68,best1bin,20,12.15945929949741,7.120176066129744,0.2522628436466728,0.9184561481204462,14.763501309060814,11.401806742492363,10,0.0,15,26.17536497116089
69,best1bin,20,14.82589750206226,11.136192699521786,0.3225738456120354,0.6474212887455695,15.229233956205809,12.89284402905202,10,0.0,15,26.493682384490967
70,best1exp,20,10.200872364461157,4.59973002675909,0.1357157672606629,0.7323033157084134,4.928705382110295,25.489271748022546,10,0.0,15,26.942368030548096
71,best1exp,20,18.057625469122065,17.461961044480034,0.7676809287375934,0.9557219506206464,11.22823573617966,6.923355310812573,10,0.0,15,27.03732204437256
72,best1exp,20,10.07403062240008,4.585915316030508,0.8880299026963947,0.85269778590254,8.49284970611651,3.9081065668971817,10,0.0,15,27.030548095703125
73,best1exp,20,7.091779185472697,2.2872705136600615,0.4562006993687356,0.6230591470782837,19.98211455935894,14.805891116189956,10,0.0,15,27.558276176452637
74,best1exp,20,18.969302027006005,16.20915313962937,0.3638600891930852,0.728813840710524,10.559793711630576,7.846974962668866,10,0.0,15,26.26098608970642
75,best1exp,20,17.680670437088366,15.400879695645216,0.4084650991651038,0.8822299592591472,11.495778081971958,12.52243248203498,10,0.0,15,27.055224895477295
76,best1exp,20,11.832939470697966,9.56939026000829,0.5128436425583681,0.8945628080968215,7.108913390273777,8.465564688289184,10,0.0,15,27.10455322265625
77,randtobest1bin,20,13.595978801216429,10.286348401417229,0.215409934897938,0.5068411775424237,7.73463182727815,10.424397375852289,10,0.0,15,25.931525230407715
78,randtobest1bin,20,9.906000035814872,7.05295859035796,0.1483863977913683,0.5703196390586295,11.360197105391102,26.99717507254715,10,0.0,15,25.82129502296448
79,randtobest1bin,20,10.149404327698818,4.901755081816859,0.2622097740806373,0.6884833111015192,13.294782077268913,12.747599727365465,10,0.0,15,29.05679988861084
80,randtobest1bin,20,5.022663451860709,0.5413774289793523,0.2169259073952051,0.741069283470644,14.513482418931456,17.623128957810668,10,0.0,15,25.639873027801514
81,randtobest1bin,20,14.223220936872773,4.461453900828829,0.518397723010343,0.862784760247979,9.65348082153162,4.878222947348474,10,0.0,15,28.56380414962769
82,randtobest1bin,20,6.576576136802144,2.4866362659432113,0.121949133415486,0.3520576867598068,11.053200128459252,24.38711488962505,10,0.0,15,25.315974235534668
83,randtobest1bin,20,12.942257359805954,10.04406092106823,0.5321115797295598,0.8115841592270217,14.740962738779238,11.124031811923388,10,0.0,15,25.348576068878177
84,randtobest1bin,20,17.670248998348395,14.175834191980329,0.6492622100762997,0.97338639622435,10.319520130570028,4.63206305170158,10,0.0,15,25.673463106155396
85,randtobest1bin,20,14.57184402354086,14.517129657307898,0.9766879312216205,0.8354207774358262,10.707646964541178,5.279613870768621,10,0.0,15,27.13608694076538
