,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness
0,0.04,5.0,140.0,0.5865299220253638,15.338721762126449,0.02,0.2,8,0,0.5234365743912173,29.625638290788853,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.611382112002161,2.060639841654732,0.8,1.2,0,-80,5,5,6,5.999896630142651,6.0,-0.0017228309558229,5.999896630142651,6.0,-0.0017228309558229,rand_init_optimization_results,0,1.0
1,0.04,5.0,140.0,0.2133493753227491,7.189080724743433,0.02,0.2,8,0,0.6392987245868373,7.248298024422006,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.8412538197415387,1.7116177431438775,0.8,1.2,0,-80,5,5,6,5.999904492056923,6.0,-0.0015917990512814,5.999904492056923,6.0,-0.0015917990512814,rand_init_optimization_results,1,0.0
2,0.04,5.0,140.0,0.3200684523464032,12.581257895463546,0.02,0.2,8,0,0.9308081452363948,15.73729858045671,0.1,0.2,2,0,0.8,0.2,0.2,0.8,13.856175116347902,7.084780340217071,0.8,1.2,0,-80,5,5,6,5.99998434188962,5.0,16.666405698160336,5.99998434188962,5.0,16.666405698160336,rand_init_optimization_results,2,0.0
3,0.04,5.0,140.0,0.6190596991117966,13.020499163375948,0.02,0.2,8,0,0.875079903713616,22.33805816611153,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.583536312644918,4.19599243477691,0.8,1.2,0,-80,5,5,6,5.999965278581515,11.0,-83.33391202364142,5.999965278581515,8.0,-33.33391202364142,rand_init_optimization_results,3,0.0
4,0.04,5.0,140.0,0.3681283005274988,16.570836278265848,0.02,0.2,8,0,0.7462227913338504,42.46930229400534,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.583462872103888,1.3760623285504412,0.8,1.2,0,-80,5,5,6,5.9998792537884125,11.0,-83.33534577019313,5.9998792537884125,11.0,-83.33534577019313,rand_init_optimization_results,4,0.0
5,0.04,5.0,140.0,0.3972413057466505,3.635241182184685,0.02,0.2,8,0,0.8182551174549535,5.519167419831781,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.509238781106928,5.686822010410921,0.8,1.2,0,-80,5,5,6,5.9999916030951,4.0,33.33319338491833,5.9999916030951,4.0,33.33319338491833,rand_init_optimization_results,20,0.0
6,0.04,5.0,140.0,0.4881331092344109,18.607391220403144,0.02,0.2,8,0,0.1999542442122696,21.63079021582157,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.518114391177102,1.11022841660977,0.8,1.2,0,-80,5,5,6,7.999891261502495,9.0,-16.668478974958415,7.999891261502495,9.0,-16.668478974958415,rand_init_optimization_results,21,0.0
7,0.04,5.0,140.0,0.738159077295782,8.64965848565436,0.02,0.2,8,0,0.7245265733638754,11.499806198950864,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.068261454348782,4.631217898845275,0.8,1.2,0,-80,5,5,6,5.999959824567278,7.0,-16.667336257212032,5.999959824567278,7.0,-16.667336257212032,rand_init_optimization_results,22,0.0
8,0.04,5.0,140.0,0.2835761621965402,19.649320963184536,0.02,0.2,8,0,0.6981035346898903,28.899861211925604,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.088448710428685,3.808799880785857,0.8,1.2,0,-80,5,5,6,5.9999656327863224,8.0,-33.33390612022796,5.9999656327863224,8.0,-33.33390612022796,rand_init_optimization_results,23,0.0
9,0.04,5.0,140.0,0.4030005452236683,6.85724260063332,0.02,0.2,8,0,0.8807367557633035,12.409404813628129,0.1,0.2,2,0,0.8,0.2,0.2,0.8,16.53690535652592,5.076162895497507,0.8,1.2,0,-80,5,5,6,5.999980578878884,11.0,-83.33365701868526,5.999980578878884,11.0,-83.33365701868526,rand_init_optimization_results,24,0.0
10,0.04,5.0,140.0,0.2425603349981129,6.437753879681614,0.02,0.2,8,0,0.8192093595513992,2.963119718921348,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.069329438668547,3.3491639719461457,0.8,1.2,0,-80,5,5,6,6.999945050631918,8.0,-16.66758248946804,6.999945050631918,8.0,-16.66758248946804,rand_init_optimization_results,39,0.0
11,0.04,5.0,140.0,0.516020778316832,17.024743167689085,0.02,0.2,8,0,0.6548636007447871,33.22101911106526,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.3323359358148457,2.25735752331252,0.8,1.2,0,-80,5,5,6,5.999898617822987,11.0,-83.33502303628354,5.999898617822987,5.0,16.66497696371646,rand_init_optimization_results,40,0.0
12,0.04,5.0,140.0,0.8981529625425339,19.693273305950008,0.02,0.2,8,0,0.8043216647814182,82.97450417950506,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.83923854801284,1.5285549580683035,0.8,1.2,0,-80,5,5,6,5.99994937605994,7.0,-16.667510399001007,5.99994937605994,5.0,16.66582293433233,rand_init_optimization_results,41,0.0
